INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+GUAIFENESINUM,True,843085.0,787942.1914861945,552033.3478849424,931829.2217180859,-0.06540598932943353,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+MENTHOL SOLITION IN ISOVALERAT,True,315555.77,175763.31349624126,51644.67754544699,262117.5600575379,-0.4430039625127399,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+MENTHOL SOLITION IN ISOVALERAT,True,49058.28,26308.64014593028,7012.378202464213,39733.81315732261,-0.4637268133752288,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+PHENOBARBITALUM,True,349344.23,313026.10886492697,175617.34177161558,408626.8255692557,-0.10396084439428988,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,True,6059001.92,5654255.82288391,3958848.9109770837,6688329.246605275,-0.06680078707023918,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+VALERIANA OFFICINALIS*&,True,2706.52,802.0384693943923,0.0,4214.253431040201,-0.7036643108514282,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHOL SOLITION IN ISOVALERAT+PHENOBARBITALUM,True,1930103.19,1747689.433670463,1207615.2874289954,2077094.9100461546,-0.09450984655879302,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+PASSIFLORA INCARNATA*,True,68105.56,55438.52640415523,28650.3323303629,74076.13306378051,-0.18599118186304864,Damped ETS
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+PHENOBARBITALUM,True,495003.29,494083.51418920007,299382.1682244109,629544.9451537266,-0.0018581206011780704,Damped ETS
ALFACALCIDOLUM,True,1.02,147.58837031186647,141.19805547426384,148.87432395746256,143.6944806979083,Damped ETS
ALFUZOSINUM,True,628.7,3327.585031637297,0.0,4120.2115580944155,4.29280265887911,Damped ETS
ALLANTOINUM*+ALLIUM CEPA&+HEPARIN SODIUM,True,72667.67000000001,66966.9768980418,38384.3524126063,86853.0398029126,-0.07844882190330593,Damped ETS
ALLANTOINUM*+DEXPANTHENOLUM,True,16.490000000000002,98.08561083238493,0.0,118.8751947695217,4.948187436772888,Damped ETS
ALLANTOINUM*+GLUCOSAMINUM+IBUPROFENUM,True,29524.829999999994,13195.011175273234,1581.908279772104,21274.706404742075,-0.5530876494369913,Damped ETS
ALLANTOINUM*+POVIDONUM,True,45936.06,48087.01364577312,30018.825229653074,60657.76730777878,0.046824948543108036,Damped ETS
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,True,2028411.1500000001,2033314.634338536,1465732.3279941152,2379498.063604572,0.0024174015896807344,Damped ETS
ALLOFERONUM*,True,1188.9499999999998,77.11898646571655,0.0,1576.0744638495096,-0.9351368968705862,Damped ETS
ALLOPURINOLUM,True,406795.0999999999,384181.5287191355,224175.4134024454,495504.11478792236,-0.05558958620903842,Damped ETS
ALNUS INCANA/GLUTINOSA*&,True,92895.43,74720.13951461266,38181.26064175132,100141.68343579551,-0.19565322519511819,Damped ETS
ALOE ARBORESCENS MILL.*&,True,199680.62,137873.8923833854,59332.82758140478,192518.01913471235,-0.30952792322366895,Damped ETS
ALOE ARBORESCENS MILL.*&+CALENDULA OFFICINALIS*&+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM+MATRICARIA CHAMOMILLA*&,True,129.56,58.16895122045827,0.0,221.51027898852612,-0.5510269279063116,Damped ETS
ALPROSTADILUM,True,7452.469999999999,7506.8735543745515,0.0,16902.49214770345,0.007300070228333899,Damped ETS
ALTEPLASUM,True,144.55,22.8536385050918,0.0,205.09344190794923,-0.8418980387056949,Damped ETS
ALTHAEA OFFICINALIS*&,True,1700523.7,1422390.5402126117,946556.455175489,1712614.3077235362,-0.16355735576480834,Damped ETS
ALTHAEA OFFICINALIS*&+AMMONIUM CHLORIDE+ANISUM VULG.*&+GLYCYRRHIZA GLABRA/URALENSIS*&+NATRII HYDROCARBONAS*,True,130796.54,136311.70608333443,84865.05330343597,172105.17823098204,0.04216599371309382,Damped ETS
ALTHAEA OFFICINALIS*&+ASCORBIC ACID,True,1095503.46,904618.3859492831,598078.7672752817,1091584.9901091978,-0.17424415441893426,Damped ETS
ALTHAEA OFFICINALIS*&+GLYCYRRHIZA GLABRA/URALENSIS*&,True,3475.4100000000008,3035.5731974308073,0.0,7417.157667471103,-0.1265568098639278,Damped ETS
ALTHAEA OFFICINALIS*&+ORIGANUM VULGARE*&+TUSSILAGO FARFARA*&,True,93890.04000000001,78512.77216135786,41582.679917550966,104206.49870551201,-0.1637795429487744,Damped ETS
