INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m
ACRIVASTINUM,ATC4,R06A X Other antihistamines for systemic use,7217109.7700000005,8524545.809999999,0.18115784319018302,0.0,0.0,0.0,0.0,0.0
ADALIMUMAB,ATC4,L04A B Tumor necrosis factor alpha inhibitors,2093.48,5247.120000000001,1.5064103788906515,0.9790396851176032,0.9279128359938402,-0.051126849123762974,-0.1237514339055118,-0.10268954248057105
ADAPALENUM,ATC4,D10A D Retinoids for topical use in acne,211624.43,288888.51,0.3651000028682889,0.09154410953404576,0.1373990609733838,0.04585495143933804,-0.03874233824353672,-0.08212497614987996
ADAPALENUM+BENZOYLI PEROXIDUM*,ATC4,D10A D Retinoids for topical use in acne,211624.43,288888.51,0.3651000028682889,0.2221500135877507,0.2989701805724292,0.0768201669846785,0.022304878399691086,-0.015897876471562877
ADAPALENUM+CLINDAMYCINUM,ATC4,D10A D Retinoids for topical use in acne,211624.43,288888.51,0.3651000028682889,0.6425224630256536,0.5126252338661721,-0.12989722915948154,0.010255907096745398,0.11641789305360745
ADEMETIONINUM,ATC4,A16A A Amino acids and derivates,707970.4400000001,893719.11,0.26236783275866693,0.6305603239592885,0.6466580310675016,0.016097707108213122,0.026396697033510885,0.009920408693413152
ADENOSINI PHOSPHAS,ATC4,C01E B Other cardiac preparations,15166467.809999999,11316263.01,-0.25386298564926035,1.9812127897167903e-05,0.00026270509949909696,0.00024289297160192907,1.7914422312107327e-05,7.659842977746287e-05
ADENOSINI PHOSPHAS+CYTOCHROMUM C*+NICOTINAMIDUM,ATC4,S01X A Other ophthalmologicals,3420095.9600000004,3696662.8100000005,0.08086523104456989,0.1583084645379365,0.15797595020574787,-0.0003325143321886437,0.004988842718469749,0.0037562447712533586
ADONIS VERNALIS*&+ARNICA MONTANA/FOLIOSA NUTT./CHAMISSONIS LESS.*&+JUNIPERUS COMMUNIS*&+MENTHA PIPERITA,ATC4,C01E X Other cardiac combination products,15404551.419999996,12940044.719999999,-0.15998561936703237,0.0011021404997199201,0.0010419453944514653,-6.0195105268454844e-05,-5.316986000428474e-05,-0.0001005810098648099
AERVA LANNATA*&,ATC4,C03B X Other low-ceiling diuretics,307973.91000000003,330710.57,0.07382657836178397,0.17285120028511508,0.17235152175511054,-0.0004996785300045437,0.00124517069043667,0.008355528044313332
AESCINUM*,ATC4,C05C X Other capillary stabilizing agents,1525038.7900000003,1268976.8500000003,-0.16790519800483228,0.0296469114729862,0.04106416913752208,0.011417257664535881,-0.01630870142206768,-0.0013874231909729237
AESCINUM*+DIETHYLAMIN,ATC4,M02A C Preparations with salicylic acid derivatives,176596.43,152799.43000000002,-0.13475357344426486,0.06638990380496367,0.08435476493596866,0.017964861131004997,-0.05177899687165251,0.0067480925391274205
AESCINUM*+HEPARIN SODIUM,ATC4,C05B A Heparins or heparinoids for topical use,1301336.63,1195494.1800000002,-0.08133364385508746,0.0026095015860730826,6.385643801293955e-05,-0.002545645148060143,0.00017410197998014778,3.166414900990266e-05
AESCULUS HIPPOCASTANUM L.*&,ATC4,C05C X Other capillary stabilizing agents,1525038.7900000003,1268976.8500000003,-0.16790519800483228,0.006055150898817464,0.006781203297759133,0.0007260523989416692,-0.0013083896803187068,-9.49376399477413e-05
AESCULUS HIPPOCASTANUM L.*&+DICLOFENACUM,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",6109995.69,6317536.580000001,0.03396743639928834,0.00021694450655168954,0.000777103533605499,0.0005601590270538095,0.00031829755516397755,0.00044192902780461297
AESCULUS HIPPOCASTANUM L.+THIAMINUM,ATC4,C05C X Other capillary stabilizing agents,1525038.7900000003,1268976.8500000003,-0.16790519800483228,0.08676505205483984,0.09987127030725577,0.013106218252415938,-0.024199644787569696,-0.0015766593302568022
AETHACIZINUM*,ATC4,"C01B C Antiarrhythmics, class 1c",330558.22,328150.78,-0.007282953060431918,0.4366487089626754,0.3551393965907989,-0.08150931237187647,0.013065888035894924,-0.03777894791325903
