ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
H02A B08 Triamcinolone,2938.7276087937416,2835.5205925655414,3177.4369822788185,2627.384431520112,2634.713770230672,2593.2265108867737,2535.800583027235,2684.500578654648,2630.9812973126654,2615.8994618313563,2707.1047145727543,2903.448382605915
H02A B09 Hydrocortisone,15031.381282342723,15037.380694503614,14573.859135477194,12206.63555156291,13252.550115459857,14312.71474169486,14277.488462303283,14608.73608615597,14565.295466409658,14574.462326035497,15228.206918847447,15984.16893608022
H03A A01 Levothyroxine sodium,179782.27032819818,201711.2173491456,244648.41373044913,194615.69800003764,153321.0185802542,152115.25260897318,158452.04219649406,163264.07983105644,165327.10350325206,181050.60160555432,181121.0856519418,188868.85125359747
H03B B01 Carbimazole,2566.780287568857,2663.9494273695495,3019.6724770817336,2307.8674547231135,2341.606374707847,2270.623248567266,2413.6052855264325,2590.187052965395,2462.0814047881972,2712.6070241180696,2675.3944574535985,2637.620541993653
H03B B02 Thiamazole,16386.070615480032,16863.836735808163,20433.89871453803,15040.534179989267,15031.684034817608,15308.025001147638,16263.473656679014,16876.819663571467,16534.189951552777,17234.017664405175,16918.507717154454,17791.40884182122
H03C A Iodine therapy,35828.25494486273,37746.677281344375,35111.504824731994,27100.277851217175,29548.204125543165,38136.46814895477,31145.3771735365,37324.21102738028,36133.61070178069,37902.44862856546,30365.797902164988,30412.840702307112
H04A A01 Glucagon,48.25775185868058,55.05220686710635,48.53956598359967,43.72164838654705,52.56990941865766,42.52751335409884,40.12339161220453,31.82028932844176,49.734802611184264,36.43140834713097,49.33448804564104,57.160346914201824
H05B A01 Calcitonin (salmon synthetic),0.7345297049227766,3.386156139989925,4.19976365092222,0.5493560225466345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027812127345690607
H05B X01 Cinacalcet,32.8086346032485,31.902051502957363,30.944746512027052,30.61646400858537,36.55459949513462,30.39346937367659,33.48572676581276,27.167894168824276,47.937989580536076,44.37122739920811,37.2857791434483,32.73458202814305
H05B X02 Paricalcitol,0.04654191878541785,0.04438082607434744,0.04238937896856419,0.040533648347010676,0.24878649091284094,0.03712619202857821,0.03553537998424111,0.034000157411844506,0.0325094064170003,0.031054232684198012,0.029627520761029258,0.028223578285567326
